[ Mark4 V2 - Custom FPV Drone Build ],,,,,,,,,
,,,,,,,,,
,Assembly Name :,N/A,,,,[42],,,
,Assembly Number :,N/A,,,,,,,
,Assembly Revision :,N/A,,,,,,,
,Approval Date :,N/A,,,,,,,
,Part Count :,7,,,,,,,
,Total Cost :,$179.20,,,,,,,
,,,,,,,,,
Part #,Part Name,Description,Revision,Qty,Units,Supplier,Supplier2,Unit Cost,Cost
7,SpeedyBee Nano 2.4G/915MHz ExpressLRS ELRS Receiver for FPV Freestyle Long Range Drones DIY Parts,ELRS // https://www.aliexpress.us/item/3256809002280211.html?spm=a2g0o.productlist.main.2.7259YPlAYPlA8l&algo_pvid=a07ac7e8-b3f1-4d9b-bc40-db7f5fdb487d&algo_exp_id=a07ac7e8-b3f1-4d9b-bc40-db7f5fdb487d-1&pdp_ext_f=%7B%22order%22%3A%22644%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2119.52%2112.52%21%21%21130.25%2183.55%21%402103094f17893561156702569e1059%2112000048241756978%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A126ad0f3%3Bm03_new_user%3A-29895%3BpisId%3A5000000210792318&curPageLogUid=waRYZmKUub7V&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009188594963%7C_p_origin_prod%3A,,1,each,Ali Express,, $10.00 , $10.00 
8,TBA,Flight Controller Hardware,,,,,,, $-   
9,TBA,Goggles,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,Total,,,7,,,,, $179.20 
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
